SAMPID,XPT,YPT,ZPT,Thickness (cm),Pt (g/t),Ni (%),Cu (%)
1031,9434.0431,-4001.47112,0,139,7.862726619,0.17612,0.06124
828,9360.513,-4059.97576,0,139,8.673158273,0.17612,0.06124
1070,9445.7,-3783.72,0,128,5.33915625,0.17131,0.06135
1051,9440.6,-3777.28,0,128,9.449,0.17131,0.06135
834,9363.3486,-3910.39296,0,134,9.162835821,0.16066,0.06138
1012,9429.55,-3534.4,0,126,7.16297619,0.16928,0.06141
393,8661.15,-3400.08,0,75,9.484666667,0.24275,0.0615
1230,9491.4691,-3936.50716,0,140,3.814035714,0.1773,0.0616
1168,9478.4505,-3958.9708,0,140,7.729678571,0.1773,0.0616
796,9346.51775,-3989.593,0,134,5.590485075,0.16106,0.06163
990,9425.3,-3527.04,0,140,10.79714286,0.1401,0.0617
1109,9460.15,-3766.24,0,130,5.703461538,0.1686,0.0618
658,9251.05,-3570.28,0,130,6.038230769,0.1686,0.0618
689,9295.25,-3914.36,0,130,9.854615385,0.16995,0.0618
1136,9469.908,-4072.15288,0,125,12.73456,0.17175,0.06215
707,9308,-3907,0,128,5.181210938,0.17184,0.06223
821,9356.0437,-4112.69728,0,128,4.477953125,0.1744,0.06228
1209,9486.57905,-4130.94824,0,128,5.0243125,0.1744,0.06228
924,9403.88425,-4003.05812,0,128,8.213695312,0.1744,0.06228
1000,9427.22355,-4053.80256,0,120,4.806666667,0.1703,0.0623
977,9420.9378,-4048.75176,0,120,6.801666667,0.1703,0.0623
1032,9435.05715,-4063.20864,0,120,11.77583333,0.1703,0.0623
926,9405.28675,-4054.28188,0,136,8.166875,0.16334,0.06237
189,8322,-3488.4,0,132,4.174431818,0.17811,0.06241
769,9334.35,-3928.16,0,130,8.280192308,0.1728,0.06245
621,9101.45,-4089.16,0,106,4.046226415,0.18177,0.0625
863,9373.9906,-4120.7114,0,118,12.02410169,0.14703,0.06256
835,9363.81525,-4051.25508,0,126,5.443960317,0.17306,0.06257
1289,9509.45,-3738.64,0,129,4.882131783,0.17312,0.06264
841,9366.65,-3507.72,0,129,6.373875969,0.17312,0.06264
231,8429.95,-4075.36,0,124,2.963104839,0.16271,0.06269
814,9352.43885,-4130.52136,0,129,5.882705426,0.1757,0.06269
1123,9465.25,-3772.68,0,120,8.394166667,0.1597,0.0628
818,9354.75,-3937.36,0,130,8.119230769,0.15595,0.06295
1172,9478.85,-3495.76,0,133,9.586958647,0.1722,0.06297
548,8873.65,-3178.36,0,70,10.47,0.1225,0.063
127,8254,-3740.48,0,120,6.455,0.133,0.063
774,9336.05,-3867.44,0,130,6.038115385,0.1744,0.06305
1259,9500.95,-3710.12,0,130,6.573461538,0.1744,0.06305
1243,9495.85,-3700.92,0,130,6.791538462,0.1744,0.06305
700,9304.6,-3887.68,0,130,7.466576923,0.1744,0.06305
1264,9503.2518,-3832.98692,0,138,5.712789855,0.16562,0.06311
849,9369.59185,-3971.15804,0,138,6.896413043,0.16562,0.06311
724,9319.9,-3762.56,0,137,10.83653285,0.16566,0.06317
609,9067.45,-3993.48,0,105,1.411809524,0.168735,0.063385
704,9305.47805,-4068.60996,0,128,12.958125,0.17568,0.06341
114,8244.65,-4076.28,0,127,4.90976378,0.16622,0.063585
125,8253.15,-3728.52,0,14,3.44,0.0889,0.0637
894,9388.9761,-4048.8778,0,129,4.864224806,0.17699,0.06398
262,8468.2,-3528.88,0,45,11.66222222,0.222,0.06425
1187,9482.25,-3734.04,0,120,5.536666667,0.16435,0.0643
772,9336.05,-3937.36,0,120,6.2755,0.16435,0.0643
640,9208.55,-3861.92,0,120,9.211666667,0.16435,0.0643
283,8498.8,-3321.88,0,81,8.453209877,0.11895,0.06445
675,9279.95,-3884,0,137,9.262624088,0.177,0.06453
1275,9505.2,-3573.96,0,88,5.806363636,0.1891,0.0648
1094,9453.54465,-3270.20544,0,123,3.911707317,0.2616,0.06495
315,8537.9,-3308.08,0,56,15.87642857,0.1226,0.065
1010,9429.38425,-4142.20444,0,137,4.403978102,0.14587,0.06509
1061,9443.15,-3786.48,0,138,8.531855072,0.18485,0.06532
720,9315.65,-3707.36,0,138,7.818565217,0.1782,0.06542
1064,9444.3706,-3990.29864,0,125,10.75752,0.1717,0.06555
874,9379.67115,-3973.88124,0,120,12.11725,0.16145,0.0656
680,9283.35,-3933.68,0,131,8.257480916,0.17298,0.06563
733,9323.3,-3930,0,124,4.437322581,0.16947,0.06594
754,9330.1,-3931.84,0,124,5.778596774,0.16947,0.06594
